Column1,Column2,Column3,,
Geographic Information Sciences ,Geography,Social and Behavioral Sciences,,
Human Geography ,Geography,Social and Behavioral Sciences,,
Nature and Society Relations ,Geography,Social and Behavioral Sciences,,
Physical and Environmental Geography ,Geography,Social and Behavioral Sciences,,
Remote Sensing ,Geography,Social and Behavioral Sciences,,
Other Geography ,Geography,Social and Behavioral Sciences,,
,International and Area Studies ,Social and Behavioral Sciences,,
African Studies ,International and Area Studies,Social and Behavioral Sciences,,
Asian Studies ,International and Area Studies,Social and Behavioral Sciences,,
Eastern European Studies ,International and Area Studies,Social and Behavioral Sciences,,
Latin American Studies ,International and Area Studies,Social and Behavioral Sciences,,
Soviet and Post-Soviet Studies ,International and Area Studies,Social and Behavioral Sciences,,
Other International and Area Studies ,International and Area Studies,Social and Behavioral Sciences,,
,Legal Studies ,Social and Behavioral Sciences,,
Criminology and Criminal Justice ,Legal Studies,Social and Behavioral Sciences,,
Legal Theory ,Legal Studies,Social and Behavioral Sciences,,
Other Legal Studies ,Legal Studies,Social and Behavioral Sciences,,
,Leisure Studies ,Social and Behavioral Sciences,,
,Library and Information Science,Social and Behavioral Sciences,,
Archival Science ,Library and Information Science,Social and Behavioral Sciences,,
Information Literacy ,Library and Information Science,Social and Behavioral Sciences,,
,Linguistics ,Social and Behavioral Sciences,,
Anthropological Linguistics and Sociolinguistics ,Linguistics,Social and Behavioral Sciences,,
Applied Linguistics ,Linguistics,Social and Behavioral Sciences,,
Comparative and Historical Linguistics ,Linguistics,Social and Behavioral Sciences,,
Computational Linguistics ,Linguistics,Social and Behavioral Sciences,,
Discourse and Text Linguistics ,Linguistics,Social and Behavioral Sciences,,
First and Second Language Acquisition ,Linguistics,Social and Behavioral Sciences,,
Language Description and Documentation ,Linguistics,Social and Behavioral Sciences,,
Morphology ,Linguistics,Social and Behavioral Sciences,,
Phonetics and Phonology ,Linguistics,Social and Behavioral Sciences,,
Psycholinguistics and Neurolinguistics ,Linguistics,Social and Behavioral Sciences,,
Semantics and Pragmatics ,Linguistics,Social and Behavioral Sciences,,
Syntax ,Linguistics,Social and Behavioral Sciences,,
Typological Linguistics and Linguistic Diversity ,Linguistics,Social and Behavioral Sciences,,
Other Linguistics ,Linguistics,Social and Behavioral Sciences,,
,Organization Development ,Social and Behavioral Sciences,,
,Political Science ,Social and Behavioral Sciences,,
American Politics ,Political Science,Social and Behavioral Sciences,,
Comparative Politics ,Political Science,Social and Behavioral Sciences,,
International Relations ,Political Science,Social and Behavioral Sciences,,
Models and Methods ,Political Science,Social and Behavioral Sciences,,
Political Theory ,Political Science,Social and Behavioral Sciences,,
Other Political Science ,Political Science,Social and Behavioral Sciences,,
,Psychology ,Social and Behavioral Sciences,,
Applied Behavior Analysis ,Psychology,Social and Behavioral Sciences,,
Biological Psychology ,Psychology,Social and Behavioral Sciences,,
Child Psychology ,Psychology,Social and Behavioral Sciences,,
Clinical Psychology ,Psychology,Social and Behavioral Sciences,,
Cognition and Perception ,Psychology,Social and Behavioral Sciences,,
Cognitive Psychology ,Psychology,Social and Behavioral Sciences,,
Community Psychology ,Psychology,Social and Behavioral Sciences,,
Counseling Psychology ,Psychology,Social and Behavioral Sciences,,
Developmental Psychology ,Psychology,Social and Behavioral Sciences,,
Experimental Analysis of Behavior ,Psychology,Social and Behavioral Sciences,,
Health Psychology ,Psychology,Social and Behavioral Sciences,,
Industrial and Organizational Psychology ,Psychology,Social and Behavioral Sciences,,
Multicultural Psychology ,Psychology,Social and Behavioral Sciences,,
Personality and Social Contexts ,Psychology,Social and Behavioral Sciences,,
Quantitative Psychology ,Psychology,Social and Behavioral Sciences,,
School Psychology ,Psychology,Social and Behavioral Sciences,,
Social Psychology ,Psychology,Social and Behavioral Sciences,,
Theory and Philosophy ,Psychology,Social and Behavioral Sciences,,
Other Psychology ,Psychology,Social and Behavioral Sciences,,
,"Public Affairs, Public Policy and Public Administration ",Social and Behavioral Sciences,,
Defense and Security Studies,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Economic Policy ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Education Policy ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Energy Policy ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Environmental Policy ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Health Policy ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Infrastructure ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Military Studies ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Peace and Conflict Studies ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
"Policy Design, Analysis, and Evaluation ","Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
"Policy History, Theory, and Methods ","Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Public Administration ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Public Affairs ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Public Policy ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
"Recreation, Parks and Tourism Administration ","Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Science and Technology Policy ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Social Policy ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Social Welfare ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Transportation ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
Urban Studies ,"Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
"Other Public Affairs, Public Policy and Public Administration ","Public Affairs, Public Policy and Public Administration",Social and Behavioral Sciences,,
,Science and Technology Studies ,Social and Behavioral Sciences,,
,Social Work ,Social and Behavioral Sciences,,
,Sociology ,Social and Behavioral Sciences,,
Community Engagement ,Sociology,Social and Behavioral Sciences,,
Community-based Learning ,Sociology,Social and Behavioral Sciences,,
Community-based Research ,Sociology,Social and Behavioral Sciences,,
Criminology ,Sociology,Social and Behavioral Sciences,,
"Demography, Population, and Ecology ",Sociology,Social and Behavioral Sciences,,
Educational Sociology ,Sociology,Social and Behavioral Sciences,,
"Family, Life Course, and Society ",Sociology,Social and Behavioral Sciences,,
Gender and Sexuality ,Sociology,Social and Behavioral Sciences,,
Inequality and Stratification ,Sociology,Social and Behavioral Sciences,,
Medicine and Health ,Sociology,Social and Behavioral Sciences,,
Place and Environment ,Sociology,Social and Behavioral Sciences,,
Politics and Social Change ,Sociology,Social and Behavioral Sciences,,
"Quantitative, Qualitative, Comparative, and Historical Methodologies ",Sociology,Social and Behavioral Sciences,,
Race and Ethnicity ,Sociology,Social and Behavioral Sciences,,
Regional Sociology ,Sociology,Social and Behavioral Sciences,,
Rural Sociology,Sociology,Social and Behavioral Sciences,,
Service Learning ,Sociology,Social and Behavioral Sciences,,
"Social Control, Law, Crime, and Deviance ",Sociology,Social and Behavioral Sciences,,
Social Psychology and Interaction ,Sociology,Social and Behavioral Sciences,,
Sociology of Culture ,Sociology,Social and Behavioral Sciences,,
"Theory, Knowledge and Science ",Sociology,Social and Behavioral Sciences,,
Tourism ,Sociology,Social and Behavioral Sciences,,
"Work, Economy and Organizations ",Sociology,Social and Behavioral Sciences,,
Other Sociology ,Sociology,Social and Behavioral Sciences,,
,Sports Studies ,Social and Behavioral Sciences,,
,Urban Studies and Planning ,Social and Behavioral Sciences,,
,Other Social and Behavioral Sciences,Social and Behavioral Sciences,,
